,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude
106,106,12300000,3.0,60.2,20.0,4.0,Евро,Свободная продажа,,,2023.0,Монолитный,,25.0,,Железобетонный,,,1.0,220.0,,,,,,,,,,,,,,43.16781445,131.96586772546414
107,107,7200000,2.0,32.0,,2.0,Евро,Свободная продажа,,,1918.0,Кирпичный,,2.0,,Деревянный,,Поквартирный котел,1.0,,,,,,,,,,,,,,,43.1154534,131.8896585
108,108,20300000,2.0,115.0,,2.0,Косметический,,,,2008.0,Монолитный,,8.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.11451355,131.8783384398115
109,109,7700000,3.0,63.2,10.0,1.0,Косметический,,,,1938.0,Панельный,,2.0,,Деревянный,Сплошной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,Центральное,,,,,43.16250665,131.9262018004867
110,110,6800000,2.0,43.0,,3.0,Косметический,,,,1973.0,Кирпичный,II-34,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,,
111,111,5150000,1.0,30.7,5.0,4.0,Косметический,,,,1963.0,Панельный,,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,D,,,,,,43.1653868,131.91956112701487
112,112,5950000,2.0,24.2,5.0,9.0,Евро,,,есть,1968.0,Кирпичный,v-кирпичный,9.0,есть,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,,,,,43.09390695,131.9079955869612
113,113,11800000,2.0,53.3,25.1,1.0,Дизайнерский,,нет,,2019.0,Монолитный,,24.0,,Железобетонный,,Центральное,,,,,,,,,,,,,,,,43.1203675,131.93121880348838
114,114,13200000,2.0,53.8,8.0,2.0,Отсутствует,,нет,,2020.0,Монолитный,,25.0,есть,Железобетонный,,Центральное,,266.0,,,,,,,,,,,,,,43.0985309,131.8985805
115,115,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2329241,132.01266342072051
116,116,11650000,2.0,54.9,8.0,6.0,Евро,,,,2021.0,Кирпичный,,24.0,,Железобетонный,,Центральное,1.0,240.0,,,,,,,,,,,,,,43.0751226,131.9620425
117,117,6500000,,,,,,,,есть,1981.0,Панельный,,12.0,есть,Железобетонный,Иной,Закрытая с приготовлением горячей воды на ЦТП,,,Центральное,,,,,,,,,,,,,43.0920712,131.96195710297928
118,118,7000000,2.0,53.7,,4.0,Отсутствует,,,,1976.0,Кирпичный,,6.0,,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,Центральное,,,,,,Центральное,,,,,43.1129966,131.9337469
119,119,7200000,1.0,39.7,11.7,2.0,Косметический,Свободная продажа,,есть,2013.0,Монолитный,,16.0,есть,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,,,Центральное,,,,20 м2,Больше пяти,,,,,,,,,
